checklist,taxonID,exemplar id,canonicalName
0,55046067,5020,Tragulus
0,35497722,6,Tragulus kanchil
0,35497904,0,Tragulus kanchil ravus
0,35497897,1,Tragulus kanchil masae
0,35497899,2,Tragulus kanchil pallidus
0,35497895,3,Tragulus kanchil longipes
0,35497891,4,Tragulus kanchil insularis
0,35497886,5,Tragulus kanchil carimatae
0,35497880,6,Tragulus kanchil kanchil
0,35497723,7,Tragulus nigricans
0,35497724,8,Tragulus versicolor
0,35492035,11,Tragulus napu
0,35497918,9,Tragulus napu hendersoni
0,35497913,10,Tragulus napu banguei
0,35497910,11,Tragulus napu napu
0,35497926,12,Tragulus napu rufulus
0,35492034,14,Tragulus javanicus
0,35497773,13,Tragulus javanicus
0,54944522,5021,Moschiola
0,35492032,15,Hyemoschus aquaticus
0,35490432,16,Tayassu pecari
0,35497865,16,Tayassu pecari pecari
0,35490431,19,Pecari tajacu
0,35497864,17,Pecari tajacu yucatanensis
0,35497859,18,Pecari tajacu niger
0,35497851,19,Pecari tajacu tajacu
0,35497856,20,Pecari tajacu humeralis
0,35497857,21,Pecari tajacu nanus
0,35489830,19,Tayassu tajacu
0,35489827,23,Antilocapra americana
0,35489890,22,Antilocapra americana mexicana
0,35489964,23,Antilocapra americana americana
0,35489319,24,Antilocapra americana peninsularis
0,35490129,23,Antilope americana
0,35492116,25,Procapra przewalskii
0,35498223,25,Procapra przewalskii przewalskii
0,35492134,26,Tragelaphus strepsiceros
0,35498275,26,Tragelaphus strepsiceros strepsiceros
0,35492133,27,Tragelaphus spekii
0,35498270,27,Tragelaphus spekii spekii
0,35498274,28,Tragelaphus spekii sylvestris
0,35492132,29,Tragelaphus scriptus
0,35498262,29,Tragelaphus scriptus scriptus
0,35498268,30,Tragelaphus scriptus ornatus
0,35498269,31,Tragelaphus scriptus sylvaticus
0,35492125,33,Taurotragus derbianus
0,35498255,32,Taurotragus derbianus gigas
0,35498254,33,Taurotragus derbianus derbianus
0,35492126,34,Taurotragus oryx
0,35498256,34,Taurotragus oryx oryx
0,54787348,5022,Addax
0,35497748,5023,Alcelaphus lichtensteinii
0,35492083,5023,Sigmoceros lichtensteinii
0,35492077,35,Alcelaphus buselaphus
0,35498128,35,Alcelaphus buselaphus buselaphus
0,35498131,36,Alcelaphus buselaphus major
0,35492076,39,Aepyceros melampus
0,35498124,37,Aepyceros melampus katangae
0,35498123,38,Aepyceros melampus johnstoni
0,35498122,39,Aepyceros melampus melampus
0,35489828,40,Ammotragus lervia
0,35498280,40,Ammotragus lervia lervia
0,35498284,41,Ammotragus lervia ornatus
0,35492085,43,Antidorcas marsupialis
0,35498145,42,Antidorcas marsupialis angolensis
0,35498144,43,Antidorcas marsupialis marsupialis
0,35490148,44,Antilope cervicapra
0,35498147,44,Antilope cervicapra cervicapra
0,35497749,5024,Beatragus hunteri
0,35492081,5024,Damaliscus hunteri
0,35490430,45,"Bos javanicus d'Alton, 1823"
0,35498238,45,"Bos javanicus javanicus d'Alton, 1823"
0,35489871,46,Bos grunniens
0,35489887,46,Bos grunniens grunniens
0,35489888,47,Bos grunniens mutus
0,35497784,47,Bos mutus
0,35489873,48,Bos frontalis
0,35498234,48,Bos frontalis frontalis
0,35498236,49,Bos frontalis gaurus
0,35489872,49,Bos gaurus
0,35489869,50,Bos taurus
0,35498240,50,Bos taurus taurus
0,35498241,51,Bos taurus indicus
0,35489870,51,Bos indicus
0,35498242,52,Bos taurus primigenius
0,35489876,52,Bos primigenius
0,35489868,53,Bison bonasus
0,35498231,53,Bison bonasus bonasus
0,35490483,53,Bos bonasus
0,35489821,54,Bison bison
0,35489959,54,Bison bison bison
0,35490124,54,Bos bison
0,35497790,55,Bison americanus
0,35490126,56,Bison sylvestris
0,35490125,57,Bison americanus
0,54821154,5025,Bubalus
0,35490146,58,Bubalus bubalis
0,35498243,58,Bubalus bubalis bubalis
0,35498244,59,Bubalus bubalis arnee
0,35497785,59,Bubalus arnee
0,35498245,60,Bubalus bubalis fulvus
0,35492135,62,Budorcas taxicolor
0,35498287,61,Budorcas taxicolor bedfordi
0,35498286,62,Budorcas taxicolor taxicolor
0,35492141,63,Capra pyrenaica
0,35498466,63,Capra pyrenaica pyrenaica
0,35492142,64,Capra sibirica
0,35492138,65,Capra falconeri
0,35498293,65,Capra falconeri falconeri
0,35492136,66,Capra caucasica
0,35498290,66,Capra caucasica caucasica
0,35498292,67,Capra caucasica severtzovi
0,35498291,68,Capra caucasica cylindricornis
0,35492137,68,Capra cylindricornis
0,35489826,70,Capra hircus
0,35498298,69,Capra hircus chialtanensis
0,35498480,69,Capra falconeri chialtanensis
0,35498296,70,Capra hircus hircus
0,35498297,71,Capra hircus aegagrus
0,35497787,71,Capra aegagrus
0,35497762,72,Capricornis milneedwardsii
0,35498302,72,Capricornis milneedwardsii milneedwardsii
0,35497765,5026,Capricornis swinhoei
