checklist,taxonID,exemplar id,canonicalName
0,35498132,122,Alcelaphus buselaphus swaynei
0,54788483,13949,Aepyceros
0,35492076,128,Aepyceros melampus
0,35498124,123,Aepyceros melampus katangae
0,35498123,124,Aepyceros melampus johnstoni
0,35498126,125,Aepyceros melampus rendilis
0,35498125,126,Aepyceros melampus petersi
0,35498127,127,Aepyceros melampus suara
0,35498122,128,Aepyceros melampus melampus
0,54794615,13950,Ammotragus
0,35489828,129,Ammotragus lervia
0,35498280,129,Ammotragus lervia lervia
0,35498281,130,Ammotragus lervia angusi
0,35498283,131,Ammotragus lervia fassini
0,35498282,132,Ammotragus lervia blainei
0,35498285,133,Ammotragus lervia sahariensis
0,35498284,134,Ammotragus lervia ornatus
0,54794393,13951,Ammodorcas
0,35492084,136,Ammodorcas clarkei
0,35497795,135,Ammodorcas clarkii
0,54800132,13952,Antidorcas
0,35492085,139,Antidorcas marsupialis
0,35498145,137,Antidorcas marsupialis angolensis
0,35498146,138,Antidorcas marsupialis hofmeyri
0,35498144,139,Antidorcas marsupialis marsupialis
0,54800222,13953,Antilope
0,35490148,141,Antilope cervicapra
0,35498148,140,Antilope cervicapra rajputanae
0,35498147,141,Antilope cervicapra cervicapra
0,54814122,13954,Beatragus
0,35497749,142,Beatragus hunteri
0,35492081,142,Damaliscus hunteri
0,54818296,13955,Boselaphus
0,35490147,143,Boselaphus tragocamelus
0,54818275,13956,Bos
0,35490430,147,"Bos javanicus d'Alton, 1823"
0,35498238,144,"Bos javanicus javanicus d'Alton, 1823"
0,35498239,145,Bos javanicus lowi
0,35489874,146,Bos banteng
0,35489871,148,Bos grunniens
0,35489887,148,Bos grunniens grunniens
0,35489888,150,Bos grunniens mutus
0,35497784,149,Bos mutus
0,35489873,152,Bos frontalis
0,35498235,151,Bos frontalis laosiensis
0,35498234,152,Bos frontalis frontalis
0,35498236,154,Bos frontalis gaurus
0,35489872,153,Bos gaurus
0,35498237,155,Bos frontalis sinhaleyus
0,35489869,156,Bos taurus
0,35498240,156,Bos taurus taurus
0,35498241,159,Bos taurus indicus
0,35489870,157,Bos indicus
0,35497783,158,Bos namadicus
0,35498242,161,Bos taurus primigenius
0,35489876,160,Bos primigenius
0,35489875,162,Bos sauveli
0,54816335,13957,Bison
0,35489868,163,Bison bonasus
0,35498231,163,Bison bonasus bonasus
0,35498233,164,Bison bonasus hungarorum
0,35498232,165,Bison bonasus caucasicus
0,35490483,163,Bos bonasus
0,35489821,166,Bison bison
0,35489959,166,Bison bison bison
0,35490124,166,Bos bison
0,35498455,167,Bison bison athabascae
0,35497790,168,Bison americanus
0,35490128,169,Bison bison septemtrionalis
0,35490127,170,Bison americanus pennsylvanicus
0,35490126,171,Bison sylvestris
0,35490125,172,Bison americanus
0,54821154,13958,Bubalus
0,35492121,174,Bubalus depressicornis
0,35497779,173,Bubalus anoa
0,35492122,175,Bubalus mephistopheles
0,35492124,176,Bubalus quarlesi
0,35492123,178,Bubalus mindorensis
0,35497780,177,Bubalus mindorensis
0,35490146,180,Bubalus bubalis
0,35498243,180,Bubalus bubalis bubalis
0,35498448,179,Bubalus bubalis seminudus
0,35498244,182,Bubalus bubalis arnee
0,35497785,181,Bubalus arnee
0,35498245,183,Bubalus bubalis fulvus
0,35498246,184,Bubalus bubalis kerabau
0,35498247,185,Bubalus bubalis migona
0,35498248,186,Bubalus bubalis theerapati
0,54821393,13959,Budorcas
0,35492135,188,Budorcas taxicolor
0,35498287,187,Budorcas taxicolor bedfordi
0,35498286,188,Budorcas taxicolor taxicolor
0,35498289,189,Budorcas taxicolor whitei
0,35498288,190,Budorcas taxicolor tibetana
0,54826835,13960,Capra
0,35492141,196,Capra pyrenaica
0,35498468,191,Capra pyrenaica hispanica
0,35498469,192,Capra pyrenaica lusitanica
0,35498470,193,Capra pyrenaica nowaki
0,35498471,194,Capra pyrenaica victoriae
0,35498467,195,Capra pyrenaica cabrerae
0,35498466,196,Capra pyrenaica pyrenaica
0,35492142,197,Capra sibirica
0,35492143,198,Capra walie
0,35492140,199,Capra nubiana
0,35492139,200,Capra ibex
0,35492138,202,Capra falconeri
0,35498294,201,Capra falconeri heptneri
